1394	8	15
1395	11	17
1396	12	16
1397	21	26
1398	5	9
1399	23	27
1400	13	22
1401	29	35
1402	5	9
1403	33	39
1404	34	40
1405	9	15
1406	13	18
1407	13	22
1408	16	21
1409	53	59
1410	15	19
1411	13	21
1412	11	19
1413	5	10
1414	13	19
1415	20	29
1416	9	14
1417	18	24
1418	23	28
1419	5	9
1421	37	40
1423	10	19
1424	12	17
1425	12	22
1426	11	19
1427	19	28
1428	12	17
1429	33	37
1431	29	38
1432	17	22
1433	12	18
1434	5	9
1435	5	11
1436	13	17
1438	5	9
1439	19	23
1440	17	23
1441	20	25
1442	21	28
1443	13	19
1444	12	18
1446	16	22
1447	12	19
1449	5	12
1450	11	16
1451	20	29
1452	12	16
1453	32	37
1454	9	14
1455	63	67
1456	21	26
1457	24	30
1458	13	17
1459	21	25
1460	13	17
1462	20	29
1463	34	40
1464	11	20
1465	5	12
1466	18	25
1467	5	9
1469	42	51
1470	9	18
1471	16	23
1472	16	21
1473	16	18
1474	19	24
1475	18	24
1476	18	21
1477	9	20
1478	12	16
1479	18	25
1480	22	26
1481	20	24
1482	5	11
1483	21	26
1484	5	12
1487	13	20
1488	7	12
1489	5	14
1490	31	35
1491	13	17
1492	18	22
1493	14	22
1494	52	57
1496	5	12
1497	22	26
1498	5	11
1499	30	36
1500	20	30
1501	17	22
1502	5	9
1503	35	41
1504	20	23
1505	12	20
1506	11	15
1507	21	27
1508	29	33
1509	24	32
1510	22	27
1512	12	15
1513	20	30
1514	31	35
1515	25	29
1516	10	13
1517	18	22
1518	5	9
1519	15	24
1520	12	19
1521	5	9
1522	13	23
1523	5	12
1524	12	16
1525	5	15
1526	12	16
1527	19	22
1528	17	21
1529	32	36
1530	20	24
1531	10	16
1532	21	25
1533	17	21
1534	38	44
1535	13	23
1536	5	9
1537	19	26
1538	21	29
1539	33	38
1540	20	24
1541	5	14
1542	24	28
1544	27	34
1545	17	23
1546	5	9
1547	19	25
1549	5	9
1550	30	33
1551	10	13
1552	17	24
1553	10	15
1554	23	27
1555	17	26
1556	5	13
1557	19	28
1559	28	34
1560	46	52
1561	19	25
1562	14	18
1563	27	38
1564	13	21
1565	22	30
1566	20	24
1567	33	38
1568	19	29
1569	21	24
1570	18	21
1572	17	22
1573	11	15
1574	14	22
1575	12	18
1576	5	11
1578	16	22
1579	6	13
1580	5	9
1582	14	18
1583	12	16
1584	43	51
1585	18	26
1586	13	19
1588	9	15
1589	12	16
1590	8	20
1591	5	15
1592	13	22
1593	5	12
1595	5	11
1596	5	9
1597	20	29
1598	38	46
1599	29	39
1600	16	23
1601	9	17
1603	46	49
1604	10	13
1605	46	54
1606	20	25
1607	31	36
1609	12	20
1612	18	26
1613	33	41
1614	12	19
1615	25	32
1616	22	30
1617	27	31
1618	9	13
1619	15	19
1620	5	9
1621	19	24
1622	31	35
1623	19	29
1624	5	9
1625	20	24
1626	33	37
1627	48	55
1628	9	13
1629	13	17
1630	13	16
1631	11	19
1633	12	19
1634	12	16
1635	12	16
1636	13	19
1637	12	16
1638	5	9
1639	9	13
1640	12	18
1641	28	32
1643	18	24
1645	36	44
1646	26	30
1647	5	14
1649	5	9
1650	5	11
1651	16	20
1652	13	19
1653	23	28
1654	26	36
1655	18	25
1657	19	23
1658	5	9
1659	14	19
1660	31	35
1661	11	12
1662	9	18
1663	13	19
1664	18	24
1665	16	24
1666	12	16
1667	12	24
1668	28	32
1669	18	26
1671	13	16
1672	20	27
